title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Die durch die Hölle gehen (1978),8.2,174642,10920,21,17,488,949,2
Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,391737,7020,12,18,5671,991,2
Apocalypse Now (1979),8.5,333178,9180,17,30,1356,896,2
Das Leben des Brian (1979),8.2,198548,5640,0,0,275,298,1
Stalker (1979),8.2,47589,9780,2,1,34,253,2
Der Elefantenmensch (1980),8.3,120156,7440,10,13,242,325,2
Das Imperium schlägt zurück (1980),8.8,563252,7440,12,16,1774,764,3
Wie ein wilder Stier (1980),8.3,172854,7740,26,19,1478,454,3
Shining (1980),8.5,418163,8640,2,5,1528,1208,1
Das Boot (1981),8.5,127022,8940,13,5,67,397,3
Jäger des verlorenen Schatzes (1981),8.6,473742,6900,25,22,2004,691,2
Der Blade Runner (1982),8.3,350268,7020,10,15,4395,1072,3
Fanny und Alexander (1982),8.2,30266,11280,20,7,99,91,1
Gandhi (1982),8.1,121887,11460,30,16,304,222,3
Das Ding aus einer anderen Welt (1982),8.2,188733,6540,0,0,1702,849,3
Fröhliche Weihnachten (1983),8.1,85811,5640,3,11,621,431,2
Die Rückkehr der Jedi-Ritter (1983),8.4,445123,8040,12,14,1879,558,3
Scarface - Toni\,http://www.imdb.com/title/tt0086250/,8.3,379114,video.movie,0,134,985,777
Amadeus (1984),8.4,198201,9600,33,13,242,500,3
Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,60197,7020,3,0,41,161,3
Es war einmal in Amerika (1984),8.4,159607,13740,13,4,187,461,2
Terminator (1984),8.1,413108,6420,5,6,3869,602,2
Zurück in die Zukunft (1985),8.5,478445,6960,13,24,3628,680,3
Ran (1985),8.3,58697,9720,28,18,106,220,3
Aliens - Die Rückkehr (1986),8.5,353899,8220,16,21,2150,998,3
Platoon (1986),8.2,217699,7200,22,10,467,476,3
Stand by Me - Das Geheimnis eines Sommers (1986),8.2,198139,5340,3,10,903,536,2
Das Schloss im Himmel (1986),8.1,61387,7440,1,0,132,152,3
Full Metal Jacket (1987),8.4,334586,6960,7,7,621,621,2
Die Braut des Prinzen (1987),8.2,222749,5880,5,8,958,662,3
Stirb langsam (1988),8.3,431906,7860,6,2,2360,667,2
Die letzten Leuchtkäfer (1988),8.5,85046,5340,3,0,156,436,3
Cinema Paradiso (1988),8.5,103093,9300,19,22,215,357,1
Mein Nachbar Totoro (1988),8.3,101445,5160,5,1,330,273,3
Indiana Jones und der letzte Kreuzzug (1989),8.3,364585,7620,4,19,362,440,2
GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,515242,8760,40,23,1504,883,3
Die Schöne und das Biest (1991),8.1,208331,5040,21,19,3057,310,3
Das Schweigen der Lämmer (1991),8.6,584102,7080,44,30,1076,798,3
Terminator 2 - Tag der Abrechnung (1991),8.5,523543,8220,20,19,855,869,3
Reservoir Dogs - Wilde Hunde (1992),8.4,454684,5940,11,9,1603,855,2
Erbarmungslos (1992),8.3,205938,7860,40,20,568,453,1
...und täglich grüßt das Murmeltier (1993),8.1,309177,6060,6,7,1237,542,3
Im Namen des Vaters (1993),8.2,74591,7980,9,15,318,139,3
Schindlers Liste (1993),8.9,599579,11700,70,25,857,1095,3
Forrest Gump (1994),8.8,799314,8520,38,46,1908,1133,2
Der König der Löwen (1994),8.5,408078,5340,25,22,2908,542,3
Léon - Der Profi (1994),8.6,501117,6600,3,8,1194,754,3
Pulp Fiction (1994),9,911042,9240,62,46,3824,1818,3
Die Verurteilten (1994),9.3,1183395,8520,15,15,1913,3046,2
Drei Farben - Rot (1994),8.1,47730,5940,18,15,29,116,3
Before Sunrise - Zwischenstopp in Wien (1995),8.1,119333,6300,1,2,763,351,2
Braveheart (1995),8.4,523797,10620,19,20,975,1008,3
Casino (1995),8.2,236730,10680,3,7,550,498,3
Hass (1995),8.1,72274,5880,8,12,70,154,1
Heat (1995),8.3,324264,10200,0,0,1030,841,3
Sieben (1995),8.7,691425,7620,25,18,1953,977,3
Toy Story (1995),8.3,410650,4860,19,13,5068,311,3
12 Monkeys (1995),8.1,342200,7740,10,8,335,498,3
Underground (1995),8.2,30610,10200,6,6,38,118,3
Die üblichen Verdächtigen (1995),8.7,523742,6360,29,7,1212,1110,3
Fargo - Blutiger Schnee (1996),8.2,310335,5880,60,32,815,752,3
Trainspotting - Neue Helden (1996),8.2,343921,5640,19,15,1343,482,2
In the Mood for Love - Der Klang der Liebe (2000),8.1,55016,5880,35,27,154,293,2
The Big Lebowski (1998),8.2,380503,7020,1,9,1394,972,2
Das Leben ist schön (1997),8.6,266261,6960,56,31,98,972,3
Good Will Hunting - Der gute Will Hunting (1997),8.2,414269,7560,18,37,1462,611,1
L.A. Confidential (1997),8.3,319796,8280,78,48,82,591,3
Prinzessin Mononoke (1997),8.5,150101,8040,11,5,297,516,3
Die Truman Show (1998),8,455656,6180,32,37,702,789,3
American History X (1998),8.6,550302,7140,3,9,472,1344,2
The Green Mile (1999),8.5,499240,11340,15,23,808,1290,3
Bube Dame König grAS (1998),8.2,304448,6420,13,7,96,509,2
Der Herr der Ringe - Die Gefährten (2001),8.9,871819,10680,82,90,801,4928,3
Der Soldat James Ryan (1998),8.6,600405,10140,58,56,1841,2191,3
Matrix (1999),8.7,841150,8160,29,36,1931,3470,2
Fight Club (1999),8.9,900388,8340,5,13,2613,2676,1
Das Fest (1998),8.2,52322,6300,28,16,151,249,1
Der Herr der Ringe - Die Rückkehr des Königs (2003),8.9,845383,12060,122,74,1294,3049,3
Der Herr der Ringe - Die zwei Türme (2002),8.8,760587,10740,76,83,527,2381,3
Sixth Sense (1999),8.2,516468,6420,32,37,1500,2019,3
Lagaan: Once Upon a Time in India (2001),8.3,33481,13440,44,19,9,228,3
American Beauty (1999),8.5,602828,7320,91,74,2285,2648,1
Gladiator (2000),8.5,661296,9300,51,80,2447,2277,3
Requiem for a Dream (2000),8.4,413539,6120,27,36,918,1842,1
Die Monster AG (2001),8.1,374409,5520,14,31,104,546,3
Snatch - Schweine und Diamanten (2000),8.4,432193,6240,4,5,902,696,2
Memento (2000),8.6,605480,6780,47,34,1748,1976,2
Die fabelhafte Welt der Amelie (2001),8.5,380600,7320,54,50,359,1255,2
Chihiros Reise ins Zauberland (2001),8.6,273502,7500,35,19,621,788,3
Amores perros (2000),8.2,130465,9240,56,15,308,346,2
Donnie Darko (2001),8.1,430315,6780,11,12,1329,2031,3
Der Pianist (2002),8.5,331248,9000,49,47,700,718,3
Findet Nemo (2003),8.2,451631,6000,37,37,2563,804,3
Kill Bill: Vol. 1 (2003),8.2,509895,6660,16,43,3019,2044,2
A Beautiful Mind - Genie und Wahnsinn (2001),8.2,389925,8100,28,51,1192,1123,2
City of God (2002),8.7,386540,7800,57,26,528,681,2
Fluch der Karibik (2003),8.1,572501,8580,28,71,429,2072,3
Vergiss mein nicht (2004),8.4,475849,6480,46,54,1324,1448,3
Infernal Affairs - Die achte Hölle (2002),8.2,68704,6060,23,20,358,171,3
Das wandelnde Schloss (2004),8.2,136207,7140,9,14,153,298,3
Salinui chueok (2003),8.1,39252,7800,14,2,181,107,3
Inglourious Basterds (2009),8.3,561706,9180,76,63,7896,1391,3
Der Untergang (2004),8.3,184234,9360,18,17,432,532,3
Oldboy (2003),8.4,245394,7200,18,11,121,742,3
Swades: We\,http://www.imdb.com/title/tt0367110/,8.5,27617,video.movie,12,0,0,189
Batman Begins (2005),8.3,659591,8400,9,44,6136,2607,3
Before Sunset (2004),8.1,113580,4800,8,12,719,467,2
Hotel Ruanda (2004),8.2,195628,7260,14,34,461,582,3
Schmetterling und Taucherglocke (2007),8.1,75965,6720,56,41,337,167,2
Sin City (2005),8.2,491210,7440,21,29,5239,1677,2
Das Leben der Anderen (2006),8.5,185524,8220,66,25,402,371,2
Million Dollar Baby (2004),8.1,334315,7920,58,34,1457,1068,2
Rang De Basanti (2006),8.6,36778,9420,16,18,335,294,2
Departed - Unter Feinden (2006),8.5,598844,9060,64,63,3043,1954,3
V wie Vendetta (2005),8.2,557042,7920,4,17,1459,1980,3
Toy Story 3 (2010),8.5,356405,6180,36,44,5842,657,3
Das Bourne Ultimatum (2007),8.1,350787,6900,17,27,1639,790,3
Pans Labyrinth (2006),8.3,339845,7080,76,63,81,1025,3
The Dark Knight (2008),9,1148515,9120,94,69,17229,3930,3
There Will Be Blood (2007),8.1,272992,9480,74,58,2075,1053,1
No Country for Old Men (2007),8.2,434032,7320,110,51,3101,1416,3
Prestige - Die Meister der Magie (2006),8.5,555345,7800,4,17,796,1011,3
Into the Wild (2007),8.2,292747,8880,18,43,880,683,3
Star Trek (2009),8.1,401744,7620,19,47,15161,1499,3
Marvel's The Avengers (2012),8.2,638083,8580,22,55,21466,1550,2
Drachenzähmen leicht gemacht (2010),8.2,285643,5880,19,32,3545,414,3
WALL·E - Der letzte räumt die Erde auf (2008),8.5,476415,5880,52,49,751,966,3
Black Swan (2010),8.1,413273,6480,57,125,10527,1057,3
Mary & Max\,mary max oder schrumpfen schafe wenn es regnet,http://www.imdb.com/title/tt0978762/,8.2,2009,video.movie,6,15,108
Taare Zameen Par (2007),8.6,48238,9900,13,15,325,261,1
The Wolf of Wall Street (2013),8.4,285401,10800,17,62,3597,779,3
Slumdog Millionär (2008),8.1,470400,7200,114,62,6741,972,3
Hachiko - Eine wunderbare Freundschaft (2009),8.2,76285,5580,0,0,30,239,2
Oben (2009),8.3,425870,5760,53,37,2379,644,3
Shutter Island (2010),8.1,495936,8280,4,27,3907,884,3
Der Hobbit - Smaugs Einöde (2013),8.1,239935,9660,3,40,3179,777,2
3 Idiots (2009),8.5,103975,10200,20,13,10,267,3
Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),8.1,346862,7800,33,49,2708,754,3
Gran Torino (2008),8.2,405722,6960,20,8,1349,815,1
Ip Man (2008),8.1,101486,6360,12,10,406,129,3
Die Frau die singt - Incendies (2010),8.2,45292,8340,36,10,558,118,3
Warrior (2011),8.3,220357,8400,2,10,1903,432,2
In ihren Augen (2009),8.3,82183,7740,48,34,514,197,3
The Dark Knight Rises (2012),8.6,758626,9900,28,64,22240,2576,3
Inception (2010),8.8,942259,8880,83,110,10101,2450,3
Prisoners (2013),8.1,184698,9180,6,15,1558,445,3
The Help (2011),8.1,220355,8760,46,68,4565,391,1
Gravity (2013),8.1,341562,5460,104,75,4911,1556,3
Lego (2014),8.3,52708,6000,1,0,1651,225,3
The King's Speech (2010),8.1,325645,7080,86,104,5060,592,3
Tropa de Elite 2 - O Inimigo Agora É Outro (2010),8.1,46844,6900,23,11,111,59,3
Ziemlich beste Freunde (2011),8.6,286016,6720,25,31,457,245,3
Her (2013),8.3,98365,7560,42,58,2297,389,3
Nader und Simin - eine Trennung (2011),8.5,105123,7380,60,23,39,230,1
Django Unchained (2012),8.5,568296,9900,36,58,7971,1012,3
Rush - Alles für den Sieg (2013),8.3,142959,7380,4,33,1573,352,3
12 Years a Slave (2013),8.3,161237,8040,131,137,351,455,3
Die Jagd (2012),8.3,80966,6900,29,37,220,163,1
Ein König in New York (1957),7.3,4268,6600,0,0,8,45,2
Dinner um acht (1933),7.9,5139,6660,0,0,15,83,2
The Miracle of Morgan's Creek (1944),8,4798,5880,3,0,6,64,3
Der Rabe (1943),7.6,5372,5520,0,0,14,41,3
Funny Games (1997),7.6,32584,6480,4,5,148,281,3
Das Schreckenshaus des Dr. Rasanoff (1960),7.8,12002,5280,0,0,121,113,1
Picknick am Valentinstag (1975),7.6,20020,6900,3,11,137,189,2
