title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Die letzte Festung (2001),6.9,47377,7860,1,3,67,273,3
Narc (2002),7.3,30228,6300,1,8,378,204,3
John Ford (TV Movie 1993),6.7,59,5400,0,0,0,1,2
Aashiq (2001),3.8,195,9600,0,0,0,2,3
Einsatz im Nordatlantik (1943),7,2018,7560,0,0,3,31,2
Mongoland (2001),6.9,1034,5040,1,1,0,10,3
Poolhall Junkies (2002),7,7752,5940,0,0,13,110,2
Sur mes lèvres (2001),7.4,9036,6900,7,12,48,62,3
Johnny English (2003),6,91609,5280,0,0,310,280,3
Comic Relief: The Invasion of the Comic Tomatoes (1993),6.8,38,25500,0,0,0,1,1
Glorious Technicolor (TV Movie 1998),7.6,178,3600,0,0,0,8,2
Minsaara Kanavu (1997),7,522,9180,4,1,0,8,3
Raumschiff Enterprise: Von einem Jahrhundert in das nächste ... (TV Movie 1991),6.6,186,5580,0,0,0,2,1
Musa - Der Krieger (2001),7.3,9338,9480,2,1,12,95,3
Criminal Intent - Verbrechen im Visier (TV Series 2001–2011),7.3,14034,3600,5,16,198,139,3
Dogtown and Z-Boys (2001),7.7,8382,5460,7,5,54,85,2
La mala educación (2004),7.5,37262,6360,12,32,180,160,2
Medal of Honor: Allied Assault (Video Game 2002),8.3,896,,0,0,0,8,3
Captured on Film: The True Story of Marion Davies (TV Movie 2001),6.8,157,3420,0,0,0,7,2
Below (2002),6.2,15021,6300,0,0,0,148,3
Blueberry und der Fluch der Dämonen (2004),5.2,8447,7440,1,0,29,119,2
Corregidor (1943),5.3,175,4380,0,0,0,8,2
The Scorpion King (2002),5.5,77167,5520,2,3,430,427,3
Conspiracy Theory: Did We Land on the Moon? (TV Movie 2001),5.8,573,2700,0,0,0,37,1
Genug! (2002),5.5,23926,6900,0,0,121,231,2
Hotel (2001),4.4,1696,5580,0,0,0,76,1
Once Upon a Mouse (1981),7.3,20,1620,0,0,0,1,3
Stanley Kubrick - Ein Leben für den Film (2001),8,6993,8520,1,2,20,32,2
Hollywood Ending (2002),6.6,17615,6720,0,0,187,144,2
Gods and Generals (2003),6.3,11704,13140,1,2,51,491,3
The Real Thing (2002),5,50,5820,0,0,0,1,1
Conker's Bad Fur Day (Video Game 2001),8.4,618,,0,0,0,16,3
O kalyteros mou filos (2001),5.5,498,6240,0,0,0,4,1
Neue Abenteuer in Nimmerland (2002),5.8,9938,4320,0,0,13,76,3
Bad Company (2002),5.6,34960,6960,0,0,15,186,3
Femme Fatale (2002),6.3,25148,6840,1,1,16,225,3
Gosford Park (2001),7.3,56797,8220,34,51,574,634,2
Harold Lloyd - Mädchenscheu (1924),8.1,2011,5220,0,0,5,30,3
The Fallen Sparrow (1943),6.8,690,5640,0,0,0,20,3
Hollywoods Einzelgänger (1990),7,57,5400,0,0,0,2,1
Iris (2001),7.1,12986,5460,13,23,157,134,3
Sladke sanje (2001),7.3,115,6600,6,1,0,2,1
Nur mit Dir (2002),7.4,119019,6060,4,2,266,945,2
O Cinema Falado (1986),5.6,41,6720,0,0,0,1,2
Cinemania (2002),7.1,1799,4980,1,1,11,24,1
Das Haus am Meer - Il Mare (2000),7.8,5176,6300,0,0,5,40,3
Das Dschungelbuch 2 (2003),5.3,8562,4320,1,9,27,53,3
Frankenstein Meets the Wolf Man (1943),6.5,4354,4440,0,0,38,88,3
8 Frauen (2002),7.1,20355,6660,10,25,7,158,3
Barcelona für ein Jahr (2002),7.3,28588,7320,8,9,44,142,2
Behind the Scenes: Road to El Dorado (Video 2000),6.4,29,,0,0,0,0,1
Ball & Chain - Zwei Nieten und sechs Richtige (2002),5.9,3240,6420,0,0,0,15,3
Lakhon Me Ek (1971),6.7,27,,0,0,0,1,2
Ich habe den englischen König bedient (2006),7.4,5267,7200,8,8,3,27,3
Showtime (2002),5.5,44614,5700,1,4,10,162,3
Julius Caesar (TV Movie 2002),6.8,1792,14400,1,2,22,49,3
Guadalkanal - Die Hölle im Pazifik (1943),6.9,1475,5580,0,0,0,31,2
The 70th Annual Academy Awards (1998),6.1,542,,2,4,0,4,0
Aarzoo (1999),5.1,488,,0,0,0,3,3
24 - Twenty Four (TV Series 2001–2010),8.5,112123,2520,46,152,383,541,3
Atanarjuat (2001),7.5,5108,10320,22,11,10,106,2
Dreamcatcher (2003),5.5,63669,8160,2,2,113,646,3
Irgendwann in Mexico (2003),6.4,106653,6120,3,4,214,466,2
Texas Chain Saw Massacre: The Shocking Truth (Video 2000),7.2,302,4500,0,0,0,5,1
Kampf in den Wolken (1943),7,1264,7200,0,0,0,25,3
Kick It Like Beckham (2002),6.7,73800,6720,17,18,449,427,3
Hero Hindustani (1998),4.8,172,,0,0,0,2,3
Hulk (2003),5.7,163735,8280,2,8,2164,1433,2
Memories of Videodisc (Video 1986),6.6,5,,0,0,0,1,1
Spy Kids 2: Die Rückkehr der Superspione (2002),5,33988,6000,3,3,23,103,3
Daredevil (2003),5.4,134495,6180,4,17,1594,1002,3
Tangy Guacamole (2003),1.5,362,5340,0,0,0,9,3
Eine ganz private Affäre (2002),6.4,617,6420,0,0,0,6,2
Chasing Kevin (2000),6,117,1260,1,0,0,6,1
Hangmen Also Die! (1943),7.6,2274,8040,2,0,0,45,3
Der Ärger mit Harry geht weiter (Video 2001),6.6,117,1920,0,0,0,4,2
MST3K Little Gold Statue Preview Special (1995),6.8,147,7200,0,0,0,3,1
The Book That Wrote Itself (1999),5.2,107,4260,0,0,4,5,1
Reine Nervensache 2 (2002),5.8,57214,5760,0,0,81,136,2
Das Leben des David Gale (2003),7.5,70689,7800,0,0,31,407,3
Scooby-Doo und die Cyber-Jagd (Video 2001),6.8,1587,4500,0,0,0,16,3
The Tuxedo - Gefahr im Anzug (2002),5.2,48191,5880,2,1,48,201,3
Ein himmlischer Sünder (1943),7.6,5765,6720,0,0,6,52,3
Max (2002),6.6,5692,6360,2,5,80,83,2
Voll frontal (2002),4.8,8142,6060,0,0,138,167,2
Irreversibel (2002),7.4,66372,5820,4,5,228,637,3
Cinderella 2 - Träume werden wahr (Video 2002),4.8,4616,4380,0,0,10,29,3
Der Sohn (2002),7.6,5511,6180,9,8,2,70,2
Sennen joyû (2001),7.9,10319,5220,4,8,30,50,3
Nayak: The Real Hero (2001),7.7,3078,11220,0,0,0,11,2
Wave Twisters (2001),7.6,433,2760,1,0,0,8,3
Screen Snapshots Series 23\,http://www.imdb.com/title/tt0036008/,5.5,20,video.movie,0,0,0,0
Die Hard: Nakatomi Plaza (Video Game 2002),7.2,53,,0,0,0,3,2
Das Phantom der Oper (2004),7.4,78932,8580,6,27,410,2017,3
Rush Hour 3 (2007),6.1,93098,5460,0,0,267,220,3
Noir (TV Series 2001– ),7.4,1311,1500,0,0,3,23,3
Die Hölle von Oklahoma (1943),6.5,468,6120,0,0,0,12,1
Who Wants to Be a Millionaire? (TV Series 2001– ),5.5,13,4500,0,0,0,0,1
Jenseits aller Grenzen (2003),6.4,19012,7620,0,0,45,155,3
Super Star Wars: The Empire Strikes Back (Video Game 1993),7.5,174,,0,0,0,2,3
Ichi the Killer (2001),7.2,35280,7740,7,2,5,263,3
Ein Tag mit meinem Bruder (TV Movie 2002),7.9,2309,6720,1,0,0,95,3
Riddick - Chroniken eines Kriegers (2004),6.7,150352,7140,0,0,945,660,3
The 69th Annual Academy Awards (1997),6.1,317,,0,7,0,2,0
Die Strasse der Verlorenen (1943),5.5,32,5100,0,0,0,0,1
The Directors The Films of Spike Lee (TV Episode 2000),7.4,22,3600,0,0,0,0,2
Dem Himmel so fern (2002),7.4,31390,6420,93,37,401,371,1
Super Mario Sunshine (Video Game 2002),7.9,673,,1,0,0,16,3
Drive-in Movie Memories (2001),7.8,129,3420,2,0,0,2,1
Jonah: A VeggieTales Movie (2002),6.6,2726,4920,0,0,9,78,3
Cherish (2002),6.8,2188,5940,0,0,11,42,3
In America (2002),7.8,33220,6300,22,33,45,267,1
The 51st Annual Academy Awards (1979),7,134,,0,3,0,1,1
Chicago (2002),7.2,139341,6780,42,57,197,998,3
Shanghai Knights (2003),6.2,62305,6840,0,0,85,188,3
Timeline - Bald wirst du Geschichte sein (2003),5.6,46322,6960,0,0,91,441,3
Alles ton protimoun gouli (Video 1986),5.6,14,4860,0,0,0,0,1
MGM Greatest Moments: A Video Sampler (Video 1987),5.8,9,3060,0,0,0,2,0
Nomaden der Lüfte (2001),8,9421,5880,5,12,45,152,1
Old School - Wir lassen absolut nichts anbrennen (2003),7.2,159548,5460,0,0,682,400,1
May (2002),6.8,21949,5580,11,4,0,264,3
Firefly (TV Series 2002–2003),9.2,135325,2520,3,7,2712,631,3
Bollywood/Hollywood (2002),6.1,2090,6300,3,8,0,56,3
Chaplin's Goliath (1996),7.1,66,3240,0,0,0,3,2
Santa Clause 2 - Eine noch schönere Bescherung (2002),5.5,25384,6240,1,3,79,108,3
The Lady from Shanghai: A Discussion with Peter Bogdanovich (Video 2000),5.7,43,,0,0,0,1,1
Solaris (2002),6.2,59036,5940,2,8,266,703,3
Honogurai mizu no soko kara (2002),6.7,20641,6060,6,1,8,155,3
Der menschliche Makel (2003),6.3,22239,6360,3,4,86,210,3
Verloren in La Mancha (2002),7.4,8201,5580,2,9,175,64,1
The Making of 'Evil Dead II' or The Gore the Merrier (Video 2000),7.5,242,1920,0,0,0,5,2
Sahara (1943),7.7,5015,5820,0,0,3,63,3
Die Träumer (2003),7.2,59044,6900,0,0,117,241,2
Ruby & Quentin - Der Killer und die Klette (2003),7.1,17638,5100,0,0,2,37,2
A Mighty Wind (2003),7.3,20180,5460,13,12,177,267,2
100 Years of Horror: Maniacs (Video 1996),5.4,38,,0,0,0,1,2
Drei Caballeros im Sambafieber (1942),6.4,2010,2520,1,0,21,14,3
Die Liga der außergewöhnlichen Gentlemen (2003),5.8,108815,6600,0,0,325,773,3
Fisfusim (TV Series 1991– ),3.7,7,2700,0,0,0,0,0
Monk (TV Series 2002–2009),8,41049,2820,16,38,736,126,3
The 62nd Annual Academy Awards (1990),5.8,232,,1,4,0,0,1
Ein Kater macht Theater (2003),3.7,29027,4920,3,13,166,435,3
Suicide Circle (2001),6.7,12088,5940,2,1,151,142,3
Mysteries of Love (Video 2002),7,143,4080,0,0,0,7,1
Phenomenon II - Ein wunderbares Genie (TV Movie 2003),5.1,415,4920,0,0,0,10,1
The 74th Annual Academy Awards (2002),5.5,941,15360,0,9,0,17,1
Sweet Sixteen (2002),7.5,8924,6360,9,16,153,74,2
The Directors The Films of Martin Scorsese (TV Episode 2000),7.4,50,3600,0,0,0,0,2
Filantropica (2002),8.6,8322,6600,4,0,0,27,2
Grand Theft Auto: Vice City (Video Game 2002),9.4,10593,,7,2,0,83,3
Skandinavien: Kino der Neugier (1995),3,99,3240,0,0,0,0,1
Tränen der Sonne (2003),6.6,75456,7260,0,0,988,387,3
Mutige Frauen (1943),7.6,1033,6720,1,0,0,34,3
New York at the Movies (TV Movie 2002),6.8,88,5400,0,0,0,3,1
Bruce Allmächtig (2003),6.7,218917,6060,7,7,489,590,3
21 Gramm (2003),7.8,153983,7440,28,36,49,540,3
Anne B. Real (2003),2.1,3405,,4,3,0,20,1
Beyond Titanic (TV Movie 1998),6.9,95,5640,0,0,0,2,1
Haus aus Sand und Nebel (2003),7.6,50394,7560,10,19,207,456,1
Great Performances Kurosawa (TV Episode 2000),7.6,341,6900,0,0,0,8,3
Open Range - Weites Land (2003),7.5,45587,8340,1,4,134,479,3
Some of the Best (1943),7,36,2940,0,0,0,3,1
Spider-Man 2 (2004),7.4,276838,7620,17,39,2069,1273,2
Winn-Dixie - Mein zotteliger Freund (2005),6.3,6907,6360,0,0,39,85,3
Kino kolossal - Herkules\,http://www.imdb.com/title/tt0317836/,5.1,32,video.movie,0,0,0,0
HBO First Look (TV Series 1992– ),6.3,267,780,0,0,0,2,1
Der König der Löwen 3: Hakuna Matata (Video 2004),6.6,17648,4620,6,10,21,58,3
Ponga Pandit (1975),6.7,32,,0,0,0,1,3
Resident Evil: Apocalypse (2004),6.1,123322,5640,2,3,288,666,3
Sahara - Abenteuer in der Wüste (2005),6,64660,7440,2,4,482,449,3
The Day After Tomorrow (2004),6.4,248119,7440,4,8,995,1124,3
James Cagney: Top of the World (TV Movie 1992),7.1,138,2820,0,0,0,4,1
Three Smart Guys (1943),3.1,29,600,0,0,0,6,3
The Rising of the Moon (2002),6.3,13,360,0,0,0,0,3
Scoring Resident Evil (Video 2002),6.2,85,660,0,0,0,2,2
Königreich der Himmel (2005),7.2,166279,8640,4,11,446,920,3
Underworld (2003),7,164763,7260,1,8,2604,790,3
Woody Allen: A Life in Film (TV Movie 2002),7.2,367,5400,0,0,0,3,2
Who Wants to Be a Millionaire (TV Series 2002– ),6.2,525,1800,4,17,109,9,1
Die\,die mommie die,http://www.imdb.com/title/tt0322023/,6.4,2003,video.movie,2,26,0
E=mc2 (2002),5.2,694,5580,0,0,0,2,2
Freaky Friday - Ein voll verrückter Freitag (2003),6.1,74174,5820,5,9,627,266,3
Das Leben ist ein Wunder (2004),7.7,8291,9240,5,2,9,26,3
Die Schlacht um San Pietro (1945),7.1,822,1920,1,0,0,14,3
Die Zwillinge (2002),7.5,4965,8220,5,6,4,30,3
Mike's New Car (Video 2002),7.2,5499,240,0,0,6,27,3
A Profile of 'The Life and Death of Colonel Blimp' (Video 2000),7.1,56,1440,0,0,0,0,2
Ricordati di me (2003),6.5,3119,7500,5,18,6,20,3
Soldier's Girl (TV Movie 2003),8,3688,6720,3,10,13,74,3
The Sound of Music: From Fact to Phenomenon (Video 1994),7.8,61,5220,0,0,0,0,1
Suspect Zero - Im Auge des Mörders (2004),5.9,14229,5940,0,0,74,136,2
Es tanzt die Göttin (1944),7,2672,6420,0,4,200,49,3
Swimming Pool (2003),6.8,30322,6120,4,16,153,285,1
20th Century-Fox: The First 50 Years (TV Movie 1997),6.9,73,9000,0,0,0,3,1
23rd March 1931: Shaheed (2002),5.1,363,11280,1,0,0,7,3
Bright Young Things (2003),6.7,3888,6360,0,0,24,64,3
Liegen lernen (2003),6.9,1126,5220,3,1,0,8,3
Masters of the Martial Arts Presented by Wesley Snipes (1998),6.9,30,,0,0,0,1,1
Shirtless: Hollywood's Sexiest Men (TV Movie 2002),3.4,216,2760,0,0,0,1,1
Showboy (2002),5.6,245,5580,2,0,2,4,2
In 80 Tagen um die Welt (2004),5.8,54218,7200,0,0,183,181,3
Welcome to the Jungle (2003),6.7,68523,6240,3,3,223,245,3
Alarm im Pazifik (1944),6.5,1867,6000,0,0,2,27,3
Redentor (2004),7,705,,3,8,0,4,2
Mr. and Mrs. Iyer (2002),7.9,3019,7200,10,1,11,40,1
Dr. Phil (TV Series 2002– ),3.9,1389,3600,0,0,0,21,2
Pran Jaaye Par Shaan Na Jaaye (2003),6.6,235,,0,0,0,4,2
The 52nd Annual Academy Awards (1980),5.7,122,,0,1,0,1,0
The Directors The Films of Sydney Pollack (TV Episode 2000),7.1,22,3600,0,0,0,0,2
Lord of the Piercing (TV Short 2002),7.7,2162,180,0,0,0,21,2
Shakthi: The Power (2002),6.1,2711,10200,0,0,0,18,2
11:14 - Elevenfourteen (2003),7.2,33409,5700,1,5,3,129,3
Der Herr des Hauses (2005),5.4,17112,6000,0,0,25,90,2
Ein Mann für eine Saison (2005),6.2,30685,6240,0,0,167,203,3
Saved! - Die Highschool-Missionarinnen (2004),6.9,36507,5520,1,6,8,320,2
School of Rock (2003),7.1,157430,6480,8,11,653,455,2
Troja (2004),7.2,276282,9780,3,17,778,1665,2
Der Weg zum Glück (1944),7.4,5688,7560,11,3,43,53,3
Intermission (2003),6.9,12163,6300,6,11,61,95,3
Feast of Death (2001),7.1,197,5400,0,0,0,10,0
Garden State (2004),7.7,165810,6120,12,26,50,976,3
Dial M for Murder (TV Movie 1967),6.9,14,,0,0,0,0,2
Das Mädchen mit dem Perlenohrring (2003),7,49249,6000,14,35,189,284,3
Die Passion Christi (2004),7.1,152860,7620,22,10,875,2764,1
Die purpurnen Flüsse 2 - Die Engel der Apokalypse (2004),5.9,12680,5820,0,0,3,44,3
Baghban - Und am Abend wartet das Glück (2003),7.4,5697,10860,2,20,38,32,2
On the Road - Unterwegs (2012),6.1,24389,7440,2,3,3246,114,2
Die Rugrats auf Achse (2003),5.5,4244,4860,0,0,7,33,3
The Snow Walker (2003),7.5,7306,6180,8,20,6,84,2
Birth (2004),6,25092,6000,2,9,293,359,3
Final Call - Wenn er auflegt\,http://www.imdb.com/title/tt0337921/,6.5,67302,video.movie,0,25,145,344
Girls Gone Wild on Campus 2 (Video 2003),6.3,480,3000,0,0,0,3,1
Haute tension (2003),6.9,45267,5460,5,5,616,525,2
Die Invasion der Barbaren (2003),7.7,21966,5940,41,27,63,163,3
Alice Paul - Der Weg ins Licht (TV Movie 2004),7.7,4066,7380,3,12,29,108,2
Biography Jennifer Jones: Portrait of a Lady (TV Episode 2001),8,65,2640,0,0,0,1,3
Monsters\,http://www.imdb.com/title/tt0338261/,7.5,681,game,0,0,0,1
Zwei Brüder (2004),7.1,9643,6540,2,2,221,122,3
Das Rettungsboot (1944),7.9,16239,5820,2,0,68,113,2
John Wayne Made Me Cry: Our Western Heros (TV Movie 2002),3.5,15,1740,0,0,0,0,2
Kops (2003),6.8,13766,5400,5,1,0,30,2
Mr 3000 (2004),5.5,10771,6240,1,5,13,58,3
Pure Rage: The Making of '28 Days Later' (TV Movie 2002),6.3,230,1200,0,0,0,7,2
The 28th Annual Academy Awards (1956),5.4,44,,0,0,0,0,1
Hostage - Entführt (2005),6.6,81436,6780,0,0,64,276,3
Die Maske des Dimitrios (1944),7.2,1763,5700,0,0,5,43,3
Ônibus 174 (2002),7.9,5420,9000,11,5,5,49,2
Helena von Troja (TV Movie 2003),6.4,4727,10500,1,4,4,168,3
Puerto Vallarta Squeeze (2004),5.6,775,7020,0,0,0,15,3
Hae anseon (2002),6.6,2380,5460,3,1,0,11,3
Unleashed - Entfesselt (2005),7,72374,6180,0,0,109,295,3
A Decade Under the Influence (2003),7.6,1915,8280,1,1,6,19,1
Detective Fiction (2003),6.3,77,6120,1,0,5,5,1
Dänische Delikatessen - Darf's ein bisschen mehr sein? (2003),7.3,10147,6000,7,8,0,30,2
Taxi für eine Leiche (2002),6.5,56,4980,1,1,0,0,2
Ministerium der Angst (1944),7.2,3454,5160,0,0,19,46,3
The 53rd Annual Academy Awards (1981),6.6,106,,0,1,0,0,1
Edith Head: The Paramount Years (Video 2002),6.1,87,840,0,0,0,5,2
Forever Ealing (TV Movie 2002),6.9,115,3000,0,0,0,3,1
Der gute Hirte (2006),6.7,78265,10020,3,6,277,471,3
The Making of 'Cape Fear' (Video 2001),6,138,4800,0,0,0,4,1
The Animated Adventures of Bob & Doug McKenzie (TV Series 2003– ),6.9,41,1800,0,0,0,3,2
Rules of Engagement (TV Mini-Series 1989),7,8,3000,0,0,0,1,1
Arthur und die Minimoys (2006),6,20679,5640,1,2,55,62,3
The Awful Truth (1925),6.8,6,3600,0,0,0,0,1
Code 46 (2003),6.3,16214,5580,4,10,38,146,3
Leben nach dem Tod in Bangkok (2003),7.7,8716,6720,7,5,15,45,3
Latter Days (2003),7.3,12041,6420,3,0,31,246,3
Der SpongeBob Schwammkopf Film (2004),6.9,41116,5220,1,9,42,167,3
Sky Captain and the World of Tomorrow (2004),6.1,64696,6360,3,11,124,604,3
Ghost in the Shell - Stand Alone Complex (TV Series 2002–2005),8.5,7413,1500,0,0,11,31,3
17 Days Down the Line (1972),6.8,16,2220,0,0,0,0,3
The Rising - Aufstand der Helden (2005),6.7,4929,9000,1,2,4,80,3
The 75th Annual Academy Awards (2003),6.2,802,12600,1,7,0,18,0
Mord\,http://www.imdb.com/title/tt0037101/,7.7,6828,video.movie,1,18,14,97
Alexander (2004),5.5,115381,10500,2,9,833,1375,3
Andaaz (2003),5.2,1037,,3,7,57,12,3
Anden live i Cirkusbygningen - Hva' snakker du om? (Video 2001),7.7,248,7140,0,0,0,1,1
Chalte Chalte - Wohin das Schicksal uns führt (2003),6.7,7694,10020,0,0,40,28,2
Ghost in the Shell 2 - Innocence (2004),7.6,20332,6000,2,7,28,95,3
Indian Love Story - Kal Ho Naa Ho (2003),8,21574,11160,32,39,136,102,3
Khakee - Das tödliche Gesetz Indiens (2004),7.4,5344,10440,0,0,65,32,2
Das Korsarenschiff (1944),7.1,1137,5640,0,0,0,25,3
Suchîmubôi (2004),6.9,11274,7560,1,0,0,77,3
The Door in the Floor - Tür der Versuchung (2004),6.8,12180,6660,3,4,120,128,3
Gothika (2003),5.8,74931,5880,2,7,160,369,2
Dae Jang-hwa Hong-ryeon jeon (1962),6.9,9,,0,0,0,0,1
King Arthur (2004),6.3,107635,7560,4,7,1089,872,3
Miracle - Das Wunder von Lake Placid (2004),7.5,29741,8100,1,2,197,280,3
Das siebte Kreuz (1944),7.4,1367,6720,0,0,5,29,2
Netaji Subhas Chandra Bose: The Forgotten Hero (2005),7.3,430,12480,1,0,0,6,3
Eine Liebe auf Umwegen (2004),5.9,25662,7140,0,0,51,101,3
Celluloid Crime of the Century (Video 2003),7.3,40,2400,0,0,0,5,2
Behind the Scenes: Die Hard - With a Vengeance (TV Movie 1995),6.1,33,1260,0,0,0,0,3
De-Lovely - Die Cole Porter Story (2004),6.6,8804,7500,1,8,21,221,3
Das Fenster gegenüber (2003),7.4,7744,6360,21,16,5,48,2
The 40th Annual Academy Awards (1968),6.1,57,,0,0,0,1,0
The 56th Annual Academy Awards (1984),6.1,96,,0,1,0,0,1
Godfather (1991),7.9,444,,2,0,0,1,3
The World of 'The Dark Crystal' (TV Movie 1983),7.7,70,3420,0,0,0,2,1
Hollywood: The Gift of Laughter (TV Movie 1982),7.3,26,10800,0,0,0,0,1
Fünf Helden (1944),7.7,1328,6720,0,0,0,42,3
Stuart Little (TV Series 2003– ),4.8,136,1800,0,0,3,3,3
Cinderella Story (2004),5.8,45035,5700,6,8,104,228,3
Death in Hollywood (Video 1990),6.2,22,5280,0,0,0,2,1
Die Vergessenen (2004),5.8,50666,5460,0,0,89,436,3
Garfield: Der Film (2004),4.9,44402,4800,0,0,269,231,2
Die Familie Stone - Verloben verboten! (2005),6.3,41178,6180,3,6,196,459,3
180°: Christopher Nolan Interviews Al Pacino (Video 2002),7.6,68,1020,0,0,0,0,2
The Flyboys (2008),7,2439,7080,21,0,6,75,2
Der Rächer der Enterbten (1944),7.1,1579,5700,0,0,2,37,3
Darf ich bitten? (2004),6,29007,6360,0,0,159,202,3
That Moment: Magnolia Diary (Video 2000),7.4,232,4380,0,0,0,2,2
Comic Books & Superheroes (Video 2001),6.4,28,1140,0,0,0,1,2
Kali tapa karfitsa (2000),7.5,11,1560,1,0,0,0,3
Wimbledon - Spiel\,http://www.imdb.com/title/tt0360201/,6.3,43596,video.movie,0,22,128,169
Constantine (2005),6.9,179579,7260,1,5,832,984,2
King Kong (2005),7.3,256609,11220,24,51,1587,2594,3
The Son of Samsonite (2002),7.7,10,600,1,0,0,1,1
Haben und Nichthaben (1944),8,18830,6000,0,0,72,136,3
.hack//SIGN (TV Series 2002– ),7.1,762,1500,0,0,0,15,3
Wir leben nicht mehr hier (2004),6.4,7405,6060,3,3,48,71,2
Liebe lieber indisch (2004),6.2,14786,7320,0,0,6,275,3
Gokudô kyôfu dai-gekijô: Gozu (2003),7.2,7207,7740,5,2,31,79,3
Journey to Safety: Making 'Tears of the Sun' (Video 2003),5.4,60,900,0,0,0,3,2
Palindrome (2004),6.8,9517,6000,0,0,67,112,2
Die Maske 2 - Die nächste Generation (2005),2.1,30736,5640,1,7,41,229,3
Mord auf Seite eins (TV Mini-Series 2003),8.7,5316,3420,16,10,130,30,3
The Way Ahead (1944),7.1,937,6900,1,0,13,25,2
Die Tiefseetaucher (2004),7.3,103434,7140,4,9,343,619,3
The Box (2009),5.6,64311,6900,0,0,707,354,3
Gauner unter sich (2004),6.4,8128,5220,0,0,52,62,3
Day for Night: The Making of 'Insomnia' (Video 2002),5.3,51,480,0,0,0,0,2
A Director's Journey: The Making of 'Red Dragon' (Video 2003),6.2,61,2400,0,0,0,1,3
Aan: Men at Work (2004),5.1,1022,8940,0,0,0,7,2
The White Cliffs of Dover (1944),7.1,869,7560,0,0,11,26,3
Lawrence of Arabia: A Conversation with Steven Spielberg (Video 2000),6.5,60,540,0,0,0,0,2
Die Chroniken von Narnia - Der König von Narnia (2005),6.9,218877,8580,14,36,201,1449,3
Red Dead Revolver (Video Game 2004),7.8,544,,0,0,0,6,3
Taking Lives - Für Dein Leben würde er töten (2004),6.1,53368,6180,0,0,102,300,2
Ju-on (2002),6.7,24712,5520,1,1,195,177,1
Liebe mich\,http://www.imdb.com/title/tt0364517/,7.8,44400,video.movie,5,6,39,95
Plan (2004),4.3,546,8940,0,0,0,8,2
American Chopper: The Series (TV Series 2003– ),6.4,2323,3600,4,2,196,21,3
Die Parade des Todes (1925),8.3,4088,8400,3,0,31,38,3
Wing and a Prayer (1944),7,990,5820,0,0,3,20,3
The 59th Annual Golden Globe Awards (2002),4.3,184,,0,0,0,0,1
Art School Confidential (2006),6.3,13557,6120,0,0,55,130,2
The Assassination of Richard Nixon (2004),7,21479,5700,2,3,32,201,2
Complicated Women (TV Movie 2003),7.7,285,3300,0,0,0,8,1
Enemy at the Gates: Through the Crosshairs (Video 2001),7.8,99,1140,0,0,0,3,2
Ginger Snaps III: Der Anfang (2004),5.9,6883,5640,0,0,4,95,2
Mord und Margaritas (2005),6.9,37331,5760,1,2,133,234,3
Revolver (2005),6.5,60077,6900,1,0,140,456,3
An deiner Schulter (2005),6.9,16918,7080,4,8,67,217,2
Whiteout (2009),5.5,27107,6060,0,0,505,131,3
The Call (2003),6.3,12143,6720,0,0,22,70,2
Five Children and It (2004),5.7,3440,5340,2,0,17,26,3
Happy Feet (2006),6.5,97915,6480,14,16,946,538,3
Liar Liar: Bridging the Comedy Chasm (Video 1999),6.8,33,960,0,0,0,0,3
MirrorMask (2005),7,18136,6060,5,2,41,149,3
Allotment Wives (1945),7.2,234,4800,0,0,0,11,3
Arrested Development (TV Series 2003–2013),9.2,160097,1800,27,50,4611,276,1
The Essence of Combat: Making 'Black Hawk Down' (Video 2002),7.3,171,9000,0,0,0,2,1
Hannibal Rising - Wie alles begann (2007),6.2,69080,7260,0,0,203,377,3
The Village - Das Dorf (2004),6.5,157625,6480,3,10,416,1975,3
The Second Renaissance Part II (2003),7.9,2598,600,0,0,2,13,3
I'm Not There (2007),7,41877,8100,23,14,427,229,3
Ong-bak (2003),7.2,50173,6480,2,2,108,366,2
Infernal Affairs - Abstieg in die achte Hölle (2003),7.4,10395,7140,4,11,10,44,3
Two and a Half Men (TV Series 2003– ),7.3,142248,1320,28,63,10000,251,1
AFI's 100 Years... 100 Heroes & Villains (2003),6.7,216,,0,0,0,6,1
Dick und Jane (2005),6.1,89815,5400,0,0,163,251,2
Das letzte Wochenende (1945),7.7,6780,5820,1,0,87,124,3
'Rear Window' Ethics: Remembering and Restoring a Hitchcock Classic (Video 2000),7.4,195,3360,0,0,0,4,1
Himmel und Huhn (2005),5.8,46376,4860,3,14,240,239,3
Iron Man (2008),7.9,476288,7560,15,43,22252,993,3
Kaze no jûtan (2003),7.1,260,6660,1,0,0,1,2
Rottweiler (2004),3.1,1601,5700,0,0,8,50,3
The Resurrection of Michael Myers (Video 1987),5.9,62,1500,0,0,0,2,3
Stahlgewitter (1945),6.7,2153,5700,0,0,7,26,2
Team America (2004),7.2,111112,5880,1,7,208,686,3
Imaginary Heroes (2004),7.3,8160,6660,1,2,20,53,2
Naked Fear (1999),5.7,63,4740,0,0,0,4,2
Recruiting a Digital Army (Video 2000),,,60,0,0,0,0,2
Saints and Soldiers (2003),6.9,15391,5400,16,2,9,156,3
